,Rank,Country,Country Code,Gold,Silver,Bronze,Total
0,1,United States,US,40,44,42,126
1,2,China,CHN,40,27,24,91
2,3,Japan,JPN,20,12,13,45
3,4,Australia,AUS,18,19,16,53
4,5,France,FRA,16,26,22,64
5,6,Netherlands,NED,15,7,12,34
6,7,Great Britain,GBG,14,22,29,65
7,8,South Korea,KOR,13,9,10,32
8,9,Italy,ITA,12,13,15,40
9,10,Germany,GER,12,13,8,33
10,11,New Zealand,NZ,10,7,3,20
11,12,Canada,CAN,9,7,11,27
12,13,Uzbekistan,UZB,8,2,3,13
13,14,Hungary,HUN,6,7,6,19
14,15,Spain,SPA,5,4,9,18
15,16,Sweden,SWE,4,4,3,11
16,17,Kenya,KEN,4,2,5,11
17,18,Norway,NOR,4,1,3,8
18,19,Ireland,IRE,4,0,3,7
19,20,Brazil,BRZ,3,7,10,20
20,21,Iran,IRN,3,6,3,12
21,22,Ukraine,UKR,3,5,4,12
22,23,Romania,ROM,3,4,2,9
23,24,Georgia,GEO,3,3,1,7
24,25,Belgium,BEL,3,1,6,10
25,26,Bulgaria,BUL,3,1,3,7
26,27,Serbia,SER,3,1,1,5
27,28,Czech Republic,CZE,3,0,2,5
28,29,Denmark,DEN,2,2,5,9
29,30,Azerbaijan,AZE,2,2,3,7
30,30,Croatia,CRO,2,2,3,7
31,32,Cuba,CUB,2,1,6,9
32,33,Bahrain,BHR,2,1,1,4
33,34,Slovenia,SLO,2,1,0,3
34,35,Chinese Taipei,TPE,2,0,5,7
35,36,Austria,AUT,2,0,3,5
36,37,Hong Kong,HK,2,0,2,4
37,37,Philippines,PHI,2,0,2,4
38,39,Algeria,ALG,2,0,1,3
39,39,Indonesia,IDN,2,0,1,3
40,41,Israel,ISR,1,5,1,7
41,42,Poland,POL,1,4,5,10
42,43,Kazakhstan,KAZ,1,3,3,7
43,44,Jamaica,JAM,1,3,2,6
44,44,South Africa,SA,1,3,2,6
45,44,Thailand,THA,1,3,2,6
46,47,Ethiopia,ETH,1,3,0,4
47,48,Switzerland,SWI,1,2,5,8
48,49,Ecuador,ECU,1,2,2,5
49,50,Portugal,POR,1,2,1,4
50,51,Greece,GRE,1,1,6,8
51,52,Argentina,ARG,1,1,1,3
52,52,Egypt,EGY,1,1,1,3
53,52,Tunisia,TUN,1,1,1,3
54,55,Botswana,BOT,1,1,0,2
55,55,Chile,CHI,1,1,0,2
56,55,St Lucia,LCA,1,1,0,2
57,55,Uganda,UGA,1,1,0,2
58,59,Dominican Republic,DOM,1,0,2,3
59,60,Guatemala,GUA,1,0,1,2
60,60,Morocco,MOR,1,0,1,2
61,62,Dominica,DMA,1,0,0,1
62,62,Pakistan,PKN,1,0,0,1
63,64,Turkey,TUR,0,3,5,8
64,65,Mexico,MEX,0,3,2,5
65,66,Armenia,ARM,0,3,1,4
66,66,Colombia,COL,0,3,1,4
67,68,North Korea,PRK,0,2,4,6
68,68,Kyrgyzstan,KGZ,0,2,4,6
69,70,Lithuania,LTU,0,2,2,4
70,71,India,IND,0,1,5,6
71,72,Moldova,MDA,0,1,3,4
72,73,Kosovo,KOS,0,1,1,2
73,74,Cyprus,CYP,0,1,0,1
74,74,Fiji,FIJ,0,1,0,1
75,74,Jordan,JOR,0,1,0,1
76,74,Mongolia,MGL,0,1,0,1
77,74,Panama,PAN,0,1,0,1
78,79,Tajikistan,TJK,0,0,3,3
79,80,Albania,ALB,0,0,2,2
80,80,Grenada,GRN,0,0,2,2
81,80,Malaysia,MAS,0,0,2,2
82,80,Puerto Rico,PUR,0,0,2,2
83,84,Cape Verde,CPV,0,0,1,1
84,84,Ivory Coast,CIV,0,0,1,1
85,84,Refugee Olympic Team,EOR,0,0,1,1
86,84,Peru,PER,0,0,1,1
87,84,Qatar,QAT,0,0,1,1
88,84,Singapore,SIN,0,0,1,1
89,84,Slovakia,SVK,0,0,1,1
90,84,Zambia,ZAM,0,0,1,1
